,gdp_rs_lag1,gdp_rs_lag2,gdp_rs_lag3,hp_lag1,gdp_de_lag1,oil_lag1
2011-01-01,0.140930850151187,0.23864494597640185,0.1883251983010248,0.07307807520646795,0.18854549598075737,0.17047543438416113
2012-01-01,0.15315617501160445,0.2338254631283028,0.18022995513614062,0.07825814338632406,0.18988825026868084,0.16464201306894727
2013-01-01,0.15436392585568107,0.2268778980873778,0.17683032096709966,0.08089207625649032,0.1989138194286894,0.16212195940466181
2014-01-01,0.14534095487363777,0.22191447230939218,0.1787327459514465,0.08037627255698467,0.21510971235789025,0.1585258419506486
2015-01-01,0.14441757902564403,0.21500931306217747,0.17006462610884648,0.08341773288056376,0.22989878554457002,0.1571919633781981
2016-01-01,0.1382355084227193,0.2196814851761901,0.1670732108060182,0.0898226153324332,0.25076005602324464,0.13442712423939457
2017-01-01,0.1322167606215043,0.22333955064383473,0.16983366803986452,0.08563851880875928,0.2644151542248156,0.12455634766122164
2018-01-01,0.1314078377875519,0.22015146128764768,0.16924858229314332,0.08531665741476704,0.2720473083814186,0.12182815283547152
2019-01-01,0.1336571451035001,0.224454969471042,0.16844761368893968,0.08719254407440855,0.2670542925079377,0.11919343515417204
2020-01-01,0.13204802136453223,0.22270032885643828,0.1667994761815737,0.0877036611408309,0.26887500057647407,0.12187351188015078
2021-01-01,0.20464990172188316,0.28180819812068775,0.23467472865320807,0.10233807800786074,0.03762180657286797,0.13890728692349236
2022-01-01,0.21020833358175572,0.2794155168565411,0.2370598809666202,0.10294964906795981,0.04732829970893116,0.1230383198181919
2023-01-01,0.21342714113163008,0.27952427567199906,0.23341232559668865,0.1051541394031922,0.050438000304490006,0.11804411789200003
2024-01-01,0.21141480057373158,0.279193164934654,0.23438990777406427,0.10616487537872613,0.051503718597110275,0.1173335327417138
2025-01-01,0.20954822379780869,0.2787110508159217,0.2320727280547235,0.10809220428187577,0.05287372177684202,0.11870207127282836
